nodeId,commHash,commId,rank,nRanks,pid
005079,0x2d781de58a6079e7,0xe7d12636594460c0,73,128,269258
005079,0x2d781de58a6079e7,0xe7d12636594460c0,74,128,269259
005079,0x2d781de58a6079e7,0xe7d12636594460c0,75,128,269260
005079,0xaf79ceb91c84ce8b,0xf45954c2330b5670,0,1,269258
005079,0xc910c2af79f406af,0x11aa18937bf89615,0,1,269260
005079,0x8cc8c1334c5f69c4,0x4eb7beff306c40b4,0,1,269259
005079,0x80d1269a55ba1dc5,0x894a4299b59f55f3,0,1,269257
005045,0x5536c7d9bd44d567,0x68397d93bb6f627d,3,128,22656
005045,0x5536c7d9bd44d567,0x68397d93bb6f627d,2,128,22655
005045,0x5536c7d9bd44d567,0x68397d93bb6f627d,0,128,22653
005045,0x5536c7d9bd44d567,0x68397d93bb6f627d,1,128,22654
005045,0x7f7d7173d89331d9,0x2252a0bcaf9b9123,0,1,22655
005045,0x40eb74db93fcde20,0xbc540aa348d6ddf,0,1,22656
005045,0xc2e29c1ae5353ad0,0x6b3458bfb3d6369d,0,1,22653
005045,0x7c27890e77b3a35b,0xa128a4c0e4a117cd,0,1,22654
005045,0x2d781de58a6079e7,0xe7d12636594460c0,2,128,22655
005045,0x2d781de58a6079e7,0xe7d12636594460c0,1,128,22654
005045,0x2d781de58a6079e7,0xe7d12636594460c0,3,128,22656
005045,0x2d781de58a6079e7,0xe7d12636594460c0,0,128,22653
005045,0xb912c8500a0bac8c,0x50e0ac7e24a6996c,0,1,22655
005045,0xb0bb2d7a75fb7d15,0x5a1b5d2479bb1798,0,1,22654
005045,0xe1fc97cd37bd5664,0xbdce725278146793,0,1,22656
005045,0x22f69e8437e33423,0x576476d731c1019d,0,1,22653
005070,0x5536c7d9bd44d567,0x68397d93bb6f627d,48,128,275206
005070,0x5536c7d9bd44d567,0x68397d93bb6f627d,50,128,275208
005070,0x5536c7d9bd44d567,0x68397d93bb6f627d,49,128,275207
005070,0x5536c7d9bd44d567,0x68397d93bb6f627d,51,128,275209
005070,0x70afb1cae39652ab,0x56f9791e2c0b900c,0,1,275208
005070,0xf3b2da64f7cffb92,0x6e7be65042e6c6de,0,1,275207
005070,0xc9f7a73233b2c66c,0xc1a05cb7f7192331,0,1,275209
005070,0x45c25773a624bdb6,0x48eac0b6aacc46f8,0,1,275206
005070,0x2d781de58a6079e7,0xe7d12636594460c0,50,128,275208
005070,0x2d781de58a6079e7,0xe7d12636594460c0,49,128,275207
005070,0x2d781de58a6079e7,0xe7d12636594460c0,51,128,275209
005070,0x2d781de58a6079e7,0xe7d12636594460c0,48,128,275206
005070,0x157a14c8fb5a1754,0xd6fef0e76337e3b1,0,1,275207
005070,0xcf31b690c61ea6df,0xad65f5b3cd3437a8,0,1,275208
005070,0xee7d2256513d9619,0x6c71b3ffaa09efd8,0,1,275206
005070,0xcb42b09c3d3455c2,0x9a52e9d28371b457,0,1,275209
005069,0x5536c7d9bd44d567,0x68397d93bb6f627d,45,128,225050
005069,0x5536c7d9bd44d567,0x68397d93bb6f627d,44,128,225049
005069,0x5536c7d9bd44d567,0x68397d93bb6f627d,46,128,225051
005069,0x5536c7d9bd44d567,0x68397d93bb6f627d,47,128,225052
005069,0x7927dd00667bb2f3,0x25dce4c702bc2e48,0,1,225052
005069,0x6a709e9a4345ccf0,0x715f7204cfc3688f,0,1,225051
005069,0x72ca4dece5c38597,0x7b4b92e1a2c8e663,0,1,225049
005069,0x9c43acd17a8efd42,0xbe2a5e9f1924af3c,0,1,225050
005069,0x2d781de58a6079e7,0xe7d12636594460c0,47,128,225052
005069,0x2d781de58a6079e7,0xe7d12636594460c0,46,128,225051
005069,0x2d781de58a6079e7,0xe7d12636594460c0,45,128,225050
005069,0x2d781de58a6079e7,0xe7d12636594460c0,44,128,225049
005069,0xb27d6c65026107b5,0xe9b68a043d6f8954,0,1,225051
005069,0xe99a638080681f7e,0xad61f5316b4daf96,0,1,225049
005069,0xaa2cf74cc7d0c6c4,0xc5fd48ca9e8694a6,0,1,225050
005069,0xbdb8a9ccbe9dcf8,0x632cdb240c485e88,0,1,225052
005060,0x5536c7d9bd44d567,0x68397d93bb6f627d,8,128,269939
005060,0x5536c7d9bd44d567,0x68397d93bb6f627d,9,128,269940
005060,0x5536c7d9bd44d567,0x68397d93bb6f627d,10,128,269941
005060,0x5536c7d9bd44d567,0x68397d93bb6f627d,11,128,269942
005060,0x746555c5cb16a592,0x620da28e44e943c,0,1,269941
005060,0x7d5c9729c4064384,0x58ed8eea910ed6e8,0,1,269940
005060,0x7b9c0da0681403fe,0xcb6e6b823b660226,0,1,269942
005060,0xc2ba6942eb557b51,0xebda9848ca8d1e9,0,1,269939
005060,0x2d781de58a6079e7,0xe7d12636594460c0,9,128,269940
005060,0x2d781de58a6079e7,0xe7d12636594460c0,11,128,269942
