L_ns,L_us,runtime_ns,runtime_ms,runtime_s
950000.0,950.0,18087516939.400063,18087.516939400062,18.087516939400064
955000.0,955.0,18143726939.400063,18143.72693940006,18.14372693940006
960000.0,960.0,18199936939.400063,18199.936939400064,18.19993693940006
965000.0,965.0,18256146939.400063,18256.146939400063,18.25614693940006
970000.0,970.0,18312356939.400063,18312.356939400062,18.31235693940006
975000.0,975.0,18368566939.400063,18368.56693940006,18.36856693940006
980000.0,980.0,18424776939.400063,18424.776939400064,18.42477693940006
985000.0,985.0,18480986939.400063,18480.986939400063,18.48098693940006
990000.0,990.0,18537196939.400063,18537.196939400063,18.53719693940006
995000.0,995.0,18593406939.400063,18593.40693940006,18.59340693940006
1000000.0,1000.0,18649616939.400063,18649.61693940006,18.64961693940006
